  0.00000000E+00  0.58441217E-20 -0.50720415E-36
  0.10000000E+00  0.48190803E-20  0.44349285E-36
  0.20000000E+00  0.40901334E-20  0.67885996E-36
  0.30000000E+00  0.36401664E-20  0.77972100E-36
  0.40000000E+00  0.33165002E-20  0.74410062E-36
  0.50000000E+00  0.30654898E-20  0.68367034E-36
  0.60000000E+00  0.28611976E-20  0.75283649E-36
  0.70000000E+00  0.26886587E-20  0.62015557E-36
  0.80000000E+00  0.25385557E-20  0.61005647E-36
  0.90000000E+00  0.24048892E-20  0.58135997E-36
  0.10000000E+01  0.22837291E-20  0.52090903E-36
  0.11000000E+01  0.21724680E-20  0.61913084E-36
  0.12000000E+01  0.20693512E-20  0.59407995E-36
  0.13000000E+01  0.19731743E-20  0.44513193E-36
  0.14000000E+01  0.18830868E-20  0.41447305E-36
  0.15000000E+01  0.17984658E-20  0.44398790E-36
  0.16000000E+01  0.17188336E-20  0.43732994E-36
  0.17000000E+01  0.16438065E-20  0.48531360E-36
  0.18000000E+01  0.15730616E-20  0.41676308E-36
  0.19000000E+01  0.15063168E-20  0.41952660E-36
  0.20000000E+01  0.14433181E-20  0.36194424E-36
  0.21000000E+01  0.13838322E-20  0.41726357E-36
  0.22000000E+01  0.13276422E-20  0.39501860E-36
  0.23000000E+01  0.12745446E-20  0.38730124E-36
  0.24000000E+01  0.12243480E-20  0.38393748E-36
  0.25000000E+01  0.11768723E-20  0.35856976E-36
  0.26000000E+01  0.11319475E-20  0.36044065E-36
  0.27000000E+01  0.10894141E-20  0.33710724E-36
  0.28000000E+01  0.10491220E-20  0.30922043E-36
  0.29000000E+01  0.10109304E-20  0.24788164E-36
  0.30000000E+01  0.97470736E-21  0.32298577E-36
  0.31000000E+01  0.94032958E-21  0.26986207E-36
  0.32000000E+01  0.90768172E-21  0.32541496E-36
  0.33000000E+01  0.87665617E-21  0.25859587E-36
  0.34000000E+01  0.84715250E-21  0.23930645E-36
  0.35000000E+01  0.81907714E-21  0.26545320E-36
  0.36000000E+01  0.79234288E-21  0.25800627E-36
  0.37000000E+01  0.76686847E-21  0.21856011E-36
  0.38000000E+01  0.74257828E-21  0.24123992E-36
  0.39000000E+01  0.71940184E-21  0.23295930E-36
  0.40000000E+01  0.69727354E-21  0.22182633E-36
  0.41000000E+01  0.67613226E-21  0.22891201E-36
  0.42000000E+01  0.65592106E-21  0.19751713E-36
  0.43000000E+01  0.63658687E-21  0.19556872E-36
  0.44000000E+01  0.61808019E-21  0.19603272E-36
  0.45000000E+01  0.60035489E-21  0.18459671E-36
  0.46000000E+01  0.58336788E-21  0.17969474E-36
  0.47000000E+01  0.56707894E-21  0.17972548E-36
  0.48000000E+01  0.55145051E-21  0.15948317E-36
  0.49000000E+01  0.53644747E-21  0.16356000E-36
  0.50000000E+01  0.52203696E-21  0.16821338E-36
  0.51000000E+01  0.50818825E-21  0.16190657E-36
  0.52000000E+01  0.49487252E-21  0.14260254E-36
  0.53000000E+01  0.48206281E-21  0.16083629E-36
  0.54000000E+01  0.46973380E-21  0.14809588E-36
  0.55000000E+01  0.45786174E-21  0.13729890E-36
  0.56000000E+01  0.44642433E-21  0.13288847E-36
  0.57000000E+01  0.43540063E-21  0.13326443E-36
  0.58000000E+01  0.42477091E-21  0.13492726E-36
  0.59000000E+01  0.41451664E-21  0.13463257E-36
  0.60000000E+01  0.40462035E-21  0.12169852E-36
  0.61000000E+01  0.39506560E-21  0.12936922E-36
  0.62000000E+01  0.38583688E-21  0.11883462E-36
  0.63000000E+01  0.37691953E-21  0.10702621E-36
  0.64000000E+01  0.36829975E-21  0.11239143E-36
  0.65000000E+01  0.35996448E-21  0.12123312E-36
  0.66000000E+01  0.35190138E-21  0.10405171E-36
  0.67000000E+01  0.34409877E-21  0.10872862E-36
  0.68000000E+01  0.33654560E-21  0.10106368E-36
  0.69000000E+01  0.32923140E-21  0.10141067E-36
  0.70000000E+01  0.32214626E-21  0.94213628E-37
  0.71000000E+01  0.31528077E-21  0.88217955E-37
  0.72000000E+01  0.30862601E-21  0.10286607E-36
  0.73000000E+01  0.30217349E-21  0.91572870E-37
  0.74000000E+01  0.29591518E-21  0.81406078E-37
  0.75000000E+01  0.28984342E-21  0.87776149E-37
  0.76000000E+01  0.28395095E-21  0.84452470E-37
  0.77000000E+01  0.27823083E-21  0.82719072E-37
  0.78000000E+01  0.27267648E-21  0.76537153E-37
  0.79000000E+01  0.26728163E-21  0.83261485E-37
  0.80000000E+01  0.26204029E-21  0.74604805E-37
  0.81000000E+01  0.25694677E-21  0.71579687E-37
  0.82000000E+01  0.25199563E-21  0.66625734E-37
  0.83000000E+01  0.24718167E-21  0.73003077E-37
  0.84000000E+01  0.24249996E-21  0.69462993E-37
  0.85000000E+01  0.23794574E-21  0.69129216E-37
  0.86000000E+01  0.23351450E-21  0.66420079E-37
  0.87000000E+01  0.22920193E-21  0.65597473E-37
  0.88000000E+01  0.22500387E-21  0.71687511E-37
  0.89000000E+01  0.22091638E-21  0.68766070E-37
  0.90000000E+01  0.21693567E-21  0.64237987E-37
  0.91000000E+01  0.21305812E-21  0.63607499E-37
  0.92000000E+01  0.20928024E-21  0.63565331E-37
  0.93000000E+01  0.20559871E-21  0.64162324E-37
  0.94000000E+01  0.20201034E-21  0.59643375E-37
  0.95000000E+01  0.19851207E-21  0.61975023E-37
  0.96000000E+01  0.19510095E-21  0.53683231E-37
  0.97000000E+01  0.19177418E-21  0.57212122E-37
